x y z yaw
43.212027 17.987345 0.261913 -2.460713
42.825762 17.687648 0.234632 -2.468715
42.496875 17.395171 0.206385 -2.496850
42.134017 17.131664 0.176683 -2.538962
41.756490 16.848614 0.149509 -2.596938
41.389111 16.617970 0.144912 -2.670434
40.973999 16.384796 0.111823 -2.746017
40.334003 16.100956 0.105166 -2.859697
39.678168 15.923059 0.068163 -2.973343
39.253516 15.865540 0.087903 -3.033792
38.599337 15.814808 0.055013 -3.031980
37.971164 15.809069 0.062057 -2.903491
37.503618 15.656591 0.032256 -2.785099
36.895709 15.430940 0.021550 -2.598827
36.307961 15.098802 0.009087 -2.415976
35.781996 14.700880 -0.014517 -2.273936
35.468699 14.306104 -0.035069 -2.198069
35.100292 13.762254 -0.090392 -2.171191
34.844674 13.312357 -0.119933 -2.204995
34.415746 12.701222 -0.169040 -2.321841
34.109410 12.352772 -0.202547 -2.422331
33.713085 12.020931 -0.226878 -2.526588
33.173180 11.655052 -0.251297 -2.672817
32.805813 11.493992 -0.251648 -2.717659
32.220379 11.165025 -0.268404 -2.761136
31.813244 10.980430 -0.295505 -2.796955
31.127977 10.768855 -0.319935 -2.898319
30.463628 10.607655 -0.324247 -2.932376
29.875678 10.472455 -0.336049 -2.928897
29.243819 10.323021 -0.354948 -2.924323
28.846691 10.240270 -0.346817 -2.920089
28.181021 10.053278 -0.375946 -2.917682
27.751664 9.971573 -0.360894 -2.913647
27.065553 9.811023 -0.381063 -2.931014
26.400223 9.661390 -0.389208 -2.963661
25.945694 9.585753 -0.396889 -2.967157
25.469153 9.479628 -0.396065 -2.965224
24.805189 9.345366 -0.420917 -2.972169
24.342226 9.279134 -0.435391 -2.994859
23.885039 9.207442 -0.418230 -3.012959
23.395734 9.164100 -0.433474 -3.014200
22.944370 9.076064 -0.442754 -3.007481
22.263296 8.979925 -0.445209 -2.997232
21.821262 8.939479 -0.454226 -2.988136
21.091600 8.821336 -0.456709 -2.977566
20.678522 8.773153 -0.460947 -2.970945
20.166152 8.636514 -0.473549 -2.970669
19.667119 8.516218 -0.443605 -2.991023
19.213756 8.493379 -0.490265 -3.017510
18.692732 8.371726 -0.464586 -3.038478
18.020842 8.338339 -0.486892 -3.049845
17.550822 8.256888 -0.476781 -3.048910
17.138168 8.241422 -0.449049 -3.044049
16.428626 8.143549 -0.475197 -3.041931
15.830426 8.140583 -0.444484 -3.032333
15.326095 8.088581 -0.489977 -3.025590
14.893545 8.003220 -0.483089 -3.020981
14.449368 7.959229 -0.486976 -3.014345
13.978848 7.886448 -0.487281 -3.008703
13.304572 7.797673 -0.505209 -2.998384
12.836859 7.726704 -0.497491 -2.992653
12.385686 7.665954 -0.507191 -2.985960
11.899469 7.584810 -0.520478 -2.980870
11.402871 7.499022 -0.512660 -2.983402
10.895318 7.404596 -0.511868 -2.989347
10.409036 7.330278 -0.519606 -2.999733
9.917203 7.235323 -0.512378 -3.014545
9.409710 7.172908 -0.517571 -3.026240
8.907124 7.106376 -0.518859 -3.040831
8.420219 7.082347 -0.519246 -3.044610
7.897050 7.021424 -0.527681 -3.044036
7.373038 6.961415 -0.524711 -3.041966
6.845853 6.895015 -0.527534 -3.040233
6.360610 6.850500 -0.523430 -3.037045
5.842094 6.790926 -0.521544 -3.036598
5.336432 6.749399 -0.526497 -3.033550
4.854619 6.696615 -0.526901 -3.031118
4.349414 6.629833 -0.536003 -3.028473
3.838447 6.565555 -0.538502 -3.026603
3.335697 6.500197 -0.541864 -3.023368
2.835628 6.431001 -0.540780 -3.022562
2.326068 6.378491 -0.546123 -3.018392
1.849276 6.320159 -0.539293 -3.017382
1.370081 6.263327 -0.558409 -3.014524
0.889669 6.193681 -0.554205 -3.013033
0.417581 6.132322 -0.541403 -3.009640
-0.044420 6.062541 -0.570627 -3.007727
-0.484465 5.994450 -0.555544 -3.007067
-0.832439 5.970669 -0.564942 -2.987037
-1.168175 5.921331 -0.550962 -2.949922
-1.536128 5.843894 -0.560642 -2.923482
-1.881420 5.758295 -0.572774 -2.915178
-2.234085 5.681669 -0.568584 -2.909082
-2.561609 5.602591 -0.575059 -2.906471
