x y z yaw
-0.0869468 -0.0416176 5.88602E-05 0.00490916
-0.0877512 -0.0415986 8.34692E-05 0.00490473
-0.088413 -0.0415826 0.000107781 0.00489916
-0.0891014 -0.0415637 0.000145366 0.00489132
-0.0899101 -0.0415405 0.0001913 0.00489621
-0.0782386 -0.047262 0.000565435 0.00560252
-0.0777137 -0.0478187 0.000628462 0.00559186
-0.0770952 -0.0484747 0.000701409 0.00560903
-0.0765942 -0.0490085 0.00076539 0.00560263
-0.0760703 -0.0495669 0.000828525 0.00562061
-0.0754504 -0.0502276 0.000888505 0.00563485
-0.0749485 -0.0507633 0.000936516 0.00563213
-0.0734554 -0.0526664 0.00115769 0.00564074
-0.0728229 -0.053371 0.00124825 0.00563642
-0.0723204 -0.0539292 0.0013156 0.00563683
-0.071686 -0.0546308 0.00138426 0.00562877
-0.0711577 -0.0552143 0.00143668 0.00561534
-0.0706472 -0.0557783 0.00148972 0.00559306
-0.0701187 -0.0563619 0.00154769 0.00559913
-0.069485 -0.0570648 0.00161262 0.00562048
-0.0689746 -0.0576342 0.00165986 0.0056264
-0.068444 -0.0582279 0.00170959 0.00563417
-0.0684995 -0.0727378 0.00113905 0.00683168
-0.0679901 -0.0746626 0.00114819 0.00682077
-0.0674545 -0.0766785 0.00114611 0.0068415
-0.066817 -0.0790742 0.00113244 0.00683257
-0.0663032 -0.0810024 0.00112333 0.00683634
-0.0657625 -0.0830259 0.00111843 0.00683167
-0.0651237 -0.0854104 0.00111324 0.00683663
-0.0646048 -0.0873416 0.00110237 0.00683317
-0.0643474 -0.0903151 0.00116634 0.00691869
-0.063788 -0.0926541 0.00118035 0.00690268
-0.0633362 -0.0945475 0.00119494 0.00690281
-0.0628721 -0.0964986 0.00120683 0.00690409
-0.0623148 -0.0988551 0.00121296 0.00691142
-0.0618693 -0.100746 0.00121618 0.00690688
-0.061404 -0.102725 0.00122628 0.00688946
-0.0608576 -0.105054 0.00124213 0.00691734
-0.060175 -0.108567 0.00116187 0.00715274
-0.0597074 -0.110592 0.00115021 0.00714527
-0.0591491 -0.113004 0.00113637 0.00714533
-0.0586977 -0.114952 0.00112796 0.00714915
-0.0582327 -0.116968 0.00111944 0.00714563
-0.0576729 -0.119391 0.00110562 0.00711687
-0.0572219 -0.121334 0.00109236 0.00712733
-0.0567511 -0.123366 0.0010824 0.00711272
-0.0561952 -0.125774 0.00108008 0.00711043
-0.0553878 -0.126342 0.00121643 0.00717739
-0.0548701 -0.128279 0.00121947 0.00714912
-0.0542436 -0.130625 0.00121826 0.0071379
-0.0537376 -0.132528 0.00121369 0.00713801
-0.0532156 -0.134494 0.00120268 0.0071566
-0.0525971 -0.136833 0.00118144 0.00720879
-0.0520989 -0.138716 0.00116072 0.0072426
-0.0515826 -0.140648 0.00114357 0.00724365
-0.0509547 -0.142973 0.00113214 0.00724397
-0.0504473 -0.144841 0.00111737 0.00725192
0.679954 0.0598928 -0.0241856 0.0356828
0.768368 0.0820306 -0.0272305 0.0356816
0.837002 0.0992119 -0.0295927 0.0356937
0.90993 0.117465 -0.0321044 0.0357093
0.996749 0.139191 -0.0351055 0.0357177
1.06854 0.157153 -0.0375914 0.0357198
1.13961 0.174937 -0.0400488 0.0357256
0.600421 0.0585995 -0.0209524 0.0361677
0.599823 0.0601902 -0.0208768 0.0361746
0.599206 0.0618425 -0.0208041 0.0361816
0.598465 0.0638383 -0.0207357 0.0361808
0.59787 0.0654466 -0.0206897 0.036166
0.59725 0.0671332 -0.020638 0.0361357
0.596528 0.0691142 -0.0205733 0.0361084
0.595941 0.0707225 -0.0205213 0.0361059
0.595329 0.0724009 -0.0204715 0.0361098
0.58783 0.064987 -0.0245359 0.0372016
0.586587 0.0657639 -0.0248582 0.0372101
0.585298 0.0665662 -0.0251923 0.0372336
0.583766 0.0675173 -0.0255918 0.0372535
0.582511 0.0682976 -0.0259156 0.0372584
0.581182 0.0691323 -0.0262578 0.0372751
0.579603 0.0701435 -0.0266762 0.0372799
0.578448 0.0708984 -0.0270207 0.0372561
0.590186 0.0665614 -0.0239237 0.0371332
0.590282 0.0668347 -0.0238215 0.0370626
0.590394 0.0670293 -0.0237305 0.0370973
0.590528 0.0672096 -0.0236106 0.037061
0.590685 0.0674143 -0.0235194 0.0370893
0.590804 0.0675821 -0.0234281 0.0371567
0.590933 0.0677696 -0.0233398 0.0370701
0.591073 0.0680043 -0.023241 0.0371172
0.591171 0.0682124 -0.0231788 0.0371295
