dR dT
0.0164347 0.0420805
0.00856088 0.0276892
0.0255373 0.0192466
0.0135014 0.104151
0.00608948 0.0110698
0.0269983 0.0330903
0.00790617 0.036361
0.0158369 0.0335117
0.0252034 0.0302207
0.00235719 0.0212425
0.00479764 0.0309107
0.00420621 0.0264037
0.0154738 0.035893
0.00680608 0.022961
0.00227478 0.0211171
0.00307116 0.05393
0.0165553 0.0473249
0.00620956 0.0422425
0.0288564 0.208915
0.0207058 0.0807402
0.0180164 0.0390213
0.0262166 0.0389133
0.0146395 0.0428577
0.0206706 0.162505
0.0117012 0.0232819
0.00817152 0.0463603
0.00852931 0.0384965
0.0119914 0.0423073
0.00243845 0.0134159
0.0324501 0.142371
0.00207862 0.0317085
0.00450317 0.0390134
0.00405431 0.0362019
0.00636984 0.105828
0.0191633 0.140615
0.0143229 0.0369178
0.0126336 0.0459474
0.00394474 0.0395041
0.00807558 0.00712648
0.0267431 0.0450438
0.00525472 0.0151262
0.0115643 0.0497186
0.00557976 0.0410018
0.00511857 0.0467308
0.017995 0.0256202
0.0147455 0.0355045
0.0172624 0.0295894
0.00935933 0.024889
0.0094587 0.0370786
0.00772756 0.0311856
0.0177067 0.100054
0.00981329 0.0461289
0.00620362 0.0435172
0.0104533 0.0465584
0.0186278 0.0991643
0.0052942 0.041931
0.0112908 0.0470336
0.00946072 0.0306834
0.00872695 0.127994
0.0075199 0.0312274
0.0021569 0.0327003
0.00586115 0.0338353
0.00765984 0.0475447
0.00757458 0.041606
0.00748577 0.0378819
0.00827286 0.0445871
0.0144325 0.0277355
0.0083521 0.045646
0.0243184 0.0353323
0.0717013 0.176109
0.00438572 0.0356662
0.0123326 0.0527764
0.00363189 0.0272204
0.0263886 0.0466045
0.0139083 0.0338776
0.0116693 0.0274754
0.0204815 0.0450751
0.0311077 0.213023
0.0371979 0.0405397
0.00709541 0.0342747
0.0257989 0.261206
0.0195897 0.240652
0.0177916 0.0397603
0.00472186 0.0450244
0.0194104 0.0217043
0.0199366 0.0759488
0.00636374 0.0235612
0.0195536 0.0457484
0.0161482 0.0264349
0.0329483 0.167886
0.0031658 0.0199553
0.00301864 0.0145135
0.00252694 0.010751
0.0139929 0.0389253
0.0240007 0.227535
0.0092361 0.0239225
0.0155012 0.0432626
0.00322502 0.0282541
0.0288831 0.0390474
0.010922 0.0230324
0.00863904 0.0405496
0.00697552 0.0478129
0.00697753 0.0433185
0.0353338 0.123156
0.0131612 0.0477125
0.0222357 0.0409295
0.00974305 0.055801
0.00510574 0.0604859
0.00772769 0.0409832
0.0159785 0.0750822
0.0179766 0.145067
0.00714912 0.0476465
0.0296879 0.217005
0.00749188 0.0389957
0.0048892 0.0106788
0.00966698 0.046971
0.0171985 0.0489145
0.00599187 0.0412985
0.00516334 0.0416027
0.0106007 0.12114
0.0092986 0.020321
0.0103447 0.173273
0.0148616 0.0456932
0.0192389 0.023817
0.0120548 0.127716
0.0128312 0.0182725
0.00851855 0.0282334
0.0103625 0.0443721
0.0069473 0.0385535
0.0353643 0.19114
0.00665407 0.0181294
0.00642824 0.0455841
0.00604378 0.048824
0.00860555 0.0457364
0.015436 0.0203445
0.0136091 0.0638068
0.00990693 0.234022
0.0189785 0.153699
0.0137854 0.0430148
0.0163725 0.0714087
0.0124785 0.0654631
0.01433 0.0476797
0.00927618 0.043819
0.00959296 0.0429
0.0170237 0.0948414
0.0202766 0.128438
0.00577136 0.0244429
0.042462 0.0619093
0.000974499 0.0112865
0.00753914 0.0359683
0.00676947 0.0360029
0.00591532 0.0491136
0.0352774 0.144767
0.0225575 0.0323523
0.00868518 0.0419201
0.0196665 0.0136782
0.00239522 0.0233822
0.00412771 0.0270866
0.0254732 0.3182
0.00798992 0.0240027
0.0082136 0.0219829
0.0153371 0.0134632
0.0170986 0.0893209
0.00565215 0.0280276
0.0211347 0.0299338
0.0408992 0.0413072
0.0212262 0.0368771
0.00636879 0.0235628
0.0166698 0.0385482
0.00570626 0.0360524
0.00691054 0.0424334
0.0798925 0.32538
0.0101719 0.144068
0.0149712 0.0470454
0.016658 0.138972
0.0163591 0.033282
0.0196734 0.0217176
0.00679438 0.0253811
0.0862427 0.291056
0.0162883 0.0777773
0.0288897 0.125877
0.00854319 0.104285
0.0100031 0.0477291
0.0112275 0.0469974
0.0104942 0.106857
0.0118636 0.0386771
0.0346419 0.0483417
0.0173179 0.0120764
0.00939139 0.046589
0.0586682 0.0503763
0.00670756 0.0286352
0.0213234 0.121455
0.0133634 0.0866499
0.0145114 0.0453952
0.00976422 0.131827
0.0161334 0.126729
0.0161324 0.0298265
0.00716746 0.07555
0.00988332 0.0686662
0.00877148 0.0265346
0.0280674 0.0391399
0.0268336 0.0283303
0.0112501 0.0473036
0.00507628 0.015833
0.00460471 0.0656523
0.0034111 0.0366045
0.00855688 0.0726053
0.0389673 0.0867402
0.0061286 0.0389269
0.0155997 0.133249
0.0190049 0.0783385
0.0225174 0.0653361
0.025224 0.0458501
0.00252072 0.017865
0.0107116 0.040382
0.00525142 0.0497148
0.0113362 0.0269435
0.00567489 0.037857
0.0114394 0.0561826
0.0127747 0.0460839
0.00875676 0.0252377
0.0032071 0.0297117
0.0200162 0.0962521
0.0054709 0.0423892
0.0353208 0.125197
0.029767 0.417742
0.00922689 0.0957247
0.00835206 0.0237499
0.0039289 0.0496855
0.0127577 0.0729864
0.00430427 0.0233257
0.00640844 0.108516
0.0180858 0.134287
0.0109775 0.031388
0.0380364 0.0423825
0.0122546 0.0348648
0.0157794 0.139137
0.026287 0.208444
0.0651509 0.243599
0.0281038 0.341246
0.0311715 0.148749
0.00896791 0.056677
0.00562997 0.0191862
0.0181482 0.0626543
0.024599 0.170423
0.0110159 0.0938162
0.00738643 0.0455693
0.00926604 0.0396845
0.00197964 0.0186826
0.0192528 0.100503
0.0188675 0.30551
0.0305208 0.0408972
0.00797237 0.0605568
0.0214768 0.0341965
0.030565 0.224562
0.0293884 0.0515835
0.0171591 0.127458
0.0179605 0.0472876
0.0174713 0.116258
0.0185554 0.00479236
0.0144176 0.0702937
0.00246633 0.0219759
0.00671041 0.048154
0.00321916 0.00707709
0.01206 0.119153
0.018993 0.171951
0.0120996 0.038006
0.00683735 0.0772952
0.00907502 0.0926819
0.0230122 0.1789
0.013746 0.0289324
0.0314311 0.222786
0.0160264 0.0291307
0.0139513 0.0800209
0.0328847 0.134236
0.00529492 0.0433243
0.0198796 0.0486657
0.0126039 0.0218282
0.00654136 0.0491435
0.0295247 0.219048
0.0159112 0.0436422
0.0156545 0.0654268
0.0111256 0.0273544
0.00874025 0.143508
0.0133083 0.0459041
0.0101434 0.0435477
0.0115006 0.0341261
0.00637852 0.0418476
0.00254917 0.0361593
0.00740381 0.0344795
0.0234039 0.0403532
0.0282521 0.0889246
0.0181667 0.0401389
0.0251801 0.0480946
0.0264896 0.0248348
0.0442474 0.118918
0.0412465 0.105891
0.0146443 0.122344
0.00729957 0.0405567
0.024611 0.216911
0.0139591 0.0836321
0.0123976 0.0315228
0.0108856 0.05295
0.00826894 0.0746374
