dR dT
0.00993331 0.433776
0.136061 0.832345
0.0637748 0.795596
0.0642241 0.742346
0.0590586 0.437529
0.0391217 1.64496
0.0180998 0.365648
0.0179135 0.021754
0.035277 0.407951
0.152258 0.80433
0.112112 0.836301
0.0435419 0.27983
0.074864 0.87168
0.0505063 0.571843
0.0923146 1.32839
0.0530457 0.328991
0.159928 0.771313
0.101842 1.38229
0.165592 1.77751
0.0738244 0.698048
0.166768 0.598317
0.0314931 0.96817
0.0709115 0.353211
0.0413995 0.225647
0.0748341 1.09073
0.0690167 0.534643
0.0657766 1.435
0.166645 0.777648
0.0329587 0.188768
0.0537639 0.61281
0.0678362 1.19661
0.119298 0.799291
0.106549 0.217993
0.0656919 0.300249
0.0634301 0.875085
0.0491437 0.551608
0.0704513 0.684825
0.0352827 0.14262
0.118187 0.566718
0.0945795 1.05333
0.133456 0.915952
0.103051 1.32611
0.089212 0.6719
0.0649059 0.618361
0.0434867 0.182235
0.0345849 0.467994
0.0595644 1.3226
0.0370582 0.182098
0.0323128 0.51234
0.02948 0.470117
0.113603 0.758338
0.0388506 0.208565
0.050929 0.585088
0.0444062 0.915062
0.0699882 0.241244
0.0588077 0.419964
0.0154789 0.262773
0.0127397 0.0376289
0.0500133 0.198987
0.0150196 0.201608
0.0377594 0.742912
0.0144398 0.251481
0.0599392 1.06556
0.0818691 0.562914
0.0688551 1.14576
0.143906 1.0009
0.0254984 0.379409
0.11145 1.09628
0.0575216 0.506378
0.0660366 0.577478
0.0570977 1.04455
0.0686125 0.452993
0.0682834 0.100301
0.0783418 0.940492
0.0248877 0.250728
0.0897095 0.596456
0.0757316 0.671797
0.0705907 0.206551
0.0533446 0.339976
0.11653 0.42424
0.0852676 0.3937
0.0192412 0.63045
0.0510624 0.140043
0.0503543 0.15748
0.0284709 0.573324
0.110522 1.24009
0.229897 1.49148
0.135637 2.09711
0.0700161 1.10623
0.102499 1.39137
0.126631 0.470486
0.100848 0.629368
0.128793 0.502254
0.102734 0.508134
0.0771208 0.906822
0.125345 0.631889
0.0566995 0.690616
0.135389 0.680935
0.0560848 0.521791
0.0640323 0.520612
0.218864 2.29598
0.101888 0.459483
0.30732 1.57067
0.21568 0.837316
0.213134 1.38003
0.171211 0.683866
0.0812346 0.965278
0.0617604 0.2211
0.0440984 0.470842
0.0495967 0.643593
0.153226 2.33765
0.0343099 0.805813
0.0903089 0.45622
0.16222 0.893821
0.101551 0.362689
0.112558 0.318568
0.0521129 0.999326
0.027407 0.0807181
0.10542 0.588099
0.120925 1.01361
0.0187619 0.331168
0.0680302 0.387958
0.0232068 0.0463449
0.0287906 0.456834
0.052891 0.695277
0.0808692 0.879114
0.0872746 0.727567
0.0365107 0.326932
0.0479453 0.67046
0.070447 0.599531
0.105128 0.349464
0.0875586 1.61789
0.0489531 1.15285
0.0550773 0.40704
0.0815279 0.438341
0.104863 0.837348
0.0772358 0.689589
0.0223289 0.312435
0.0272407 0.382685
0.0457023 0.450046
0.0483751 0.399273
0.115377 1.41661
0.0397791 0.15891
0.0501399 0.434167
0.202529 1.04709
0.0277663 0.515365
0.0205032 0.551344
0.133598 0.544622
0.0853084 0.404565
0.0183752 0.0694143
0.0714763 0.656181
0.0390303 0.852994
0.0250258 0.221841
0.0765018 0.770713
0.0326665 0.439778
0.0709906 0.504837
0.0293492 0.890976
0.0853239 1.0322
0.0628072 0.209287
0.0191725 0.159483
0.060298 0.565405
0.0915749 0.483263
0.0191555 0.383436
0.0278483 0.408959
0.0475687 0.324793
0.0316927 0.290943
0.0301715 0.200954
0.0390512 0.250187
0.151063 0.447562
0.180511 0.405803
0.0292587 0.43132
0.219954 1.20151
0.152795 0.392535
0.0294518 0.850361
0.0182024 0.412521
0.123442 0.488652
0.0778439 0.60676
0.0750465 0.984173
0.0663427 0.54981
0.133153 0.632911
0.0636812 0.19703
0.0454684 0.394507
0.0674569 0.859147
0.0987435 0.163474
0.0480489 0.300071
0.0733644 0.827208
0.061329 1.84081
0.0461869 0.348787
0.120267 1.14475
0.124363 0.908787
0.0481384 0.252433
0.105243 0.858413
0.0349804 0.68624
0.0593307 0.233296
0.0580041 1.73897
0.0338348 0.272222
0.027416 0.41045
0.129626 0.372156
0.0833058 0.325905
0.0525363 1.13442
0.0826342 0.327463
0.0516479 0.393815
0.038042 0.33237
0.0507746 0.613002
0.0421512 0.0329942
0.0274937 0.508652
0.0626789 0.273061
0.10778 0.434856
0.09073 0.55994
0.160473 1.81398
0.157187 2.98417
0.215809 0.634468
0.0175387 0.998521
0.0895074 0.847192
0.0898887 0.394049
0.119563 0.550922
0.0573401 1.27919
0.161226 0.858429
0.0669272 0.282935
0.0888185 0.412013
0.201147 0.904233
0.204957 0.624773
0.0487376 0.856453
0.0329076 0.488143
0.0555694 0.510544
0.104003 0.569808
0.167086 1.24031
0.0420047 0.365651
0.110308 0.885161
0.149698 1.25512
0.0880256 0.906654
0.0453669 0.352382
0.0304107 0.893567
0.028341 0.131852
0.043139 0.241657
0.0855595 1.46435
0.201782 1.60067
0.144426 1.36778
0.0687258 0.948918
0.086918 0.678376
0.104801 0.942498
0.127096 1.32181
0.043562 0.989394
0.186744 1.53823
0.302727 2.18135
0.179918 2.46164
0.0810942 0.784663
0.0434063 0.614202
0.113438 0.448389
0.0885828 0.648606
0.0859573 0.980372
0.0621387 0.589784
0.0778156 0.623845
0.0610191 0.423947
0.0227246 0.355906
0.0155382 0.246197
0.0266182 0.11109
0.0201668 0.110483
0.0378947 0.401111
0.0772927 0.949423
0.0591669 1.2287
0.0737102 0.707096
0.243156 1.34621
0.0701326 1.20416
0.135505 0.451587
0.0984929 1.19215
0.0621095 0.170523
0.0757383 0.675145
0.0882975 0.672238
0.114483 0.344284
0.0940791 0.346757
0.0896721 0.965171
0.0948101 0.69613
0.045547 0.849798
0.105022 0.912437
0.0764699 0.615921
0.0805115 1.00649
0.159106 0.760939
0.065739 1.10288
0.0392563 0.668104
0.0510529 0.352993
0.116598 0.989472
0.408382 3.00699
0.067619 1.57679
0.319145 0.236267
0.0751567 1.1529
0.059473 0.827164
0.0738688 0.156833
0.00496413 0.0720689
0.067204 0.0985734
0.109714 0.363216
0.0266849 0.517882
0.0433884 0.352338
0.0245068 0.498781
0.040723 0.656503
0.0529873 0.609117
0.0525561 0.295256
0.0823779 0.897642
0.0570885 0.343505
0.105304 0.487432
0.0704715 0.252708
0.076507 0.653575
0.0449714 0.379546
0.106773 2.09072
0.042313 0.217433
0.117951 1.73941
0.0511178 0.720291
0.0842862 0.355371
0.0669208 1.32861
0.132672 1.69255
0.0539771 0.354549
0.0341498 0.631377
0.0501473 0.600945
0.0361126 0.378823
0.0333217 0.320095
0.0370509 0.479256
0.0876864 0.357441
0.0671794 0.726383
0.109671 0.591808
0.0993727 0.572067
0.0605276 0.592812
0.0635675 0.571919
0.0381726 0.366212
0.0364601 0.429038
0.14376 0.802499
0.0586356 0.566157
0.0816233 0.590704
0.0425778 0.4446
0.0599088 0.36125
0.0859639 0.654848
0.102216 0.280606
0.162229 1.39811
0.0462212 0.646516
0.155886 0.494938
0.130372 0.272221
0.0507463 1.09956
0.0656232 1.09953
0.0367738 0.258034
0.0368563 0.360798
0.0638002 0.699158
0.0427618 0.560917
0.184289 0.845773
0.0679767 0.772251
0.100968 0.793241
0.0980906 0.461005
0.147046 2.1511
0.0653851 2.71774
0.187163 3.95275
0.134348 0.484513
0.0934118 1.07685
0.0308523 0.27518
0.150194 0.437982
0.0316288 0.553574
0.00998144 0.380948
0.115277 0.724743
0.0686731 0.797202
0.0944442 0.4674
0.048599 0.844551
0.0649627 0.619032
0.0563373 0.940318
0.0698878 0.71217
0.0323309 0.244041
0.0410917 0.6292
0.0252659 0.569314
0.0482818 0.270588
0.062765 0.635572
0.0450067 0.125487
0.0362663 0.837214
0.0955598 1.24344
0.0318212 0.11408
0.0503381 0.68358
0.0254615 0.0722396
0.0749455 0.65541
0.0145442 0.26585
0.0492041 0.575236
0.143439 0.413428
0.0313478 0.0365981
0.0564489 0.251147
0.0644138 0.817245
0.0917691 0.33054
0.264301 1.50635
0.215381 1.7577
0.276243 1.56546
0.208827 2.4194
0.110093 1.21336
0.0811504 1.91591
0.116134 1.02167
0.0667199 0.595679
0.0833118 1.77388
0.0605933 0.753615
0.0390202 0.306538
0.0715636 0.628024
0.0514494 0.681696
0.0941376 0.588472
0.0161482 0.471803
0.0373367 0.558271
0.0374648 0.229799
0.0341685 0.137941
0.0645286 0.87141
0.0858983 0.851849
0.0730674 0.714163
0.163269 0.765351
0.0389213 0.375864
0.0410765 0.620362
0.0425836 0.068744
0.108837 0.667825
0.0906015 0.609507
0.0121343 0.157384
0.106769 0.415446
0.0193966 0.196784
0.0218858 0.235418
0.0408007 0.362477
0.0482948 0.0905797
0.0515501 0.196949
0.0242007 0.621285
0.0276082 0.417124
0.01659 0.304641
0.0236098 0.107051
0.0562987 0.767223
0.0731423 0.118026
0.0240171 0.0679477
0.0253831 0.150913
0.0278339 0.0339593
0.0368527 0.245718
0.0400313 0.0381211
0.0551724 0.41123
0.0430665 0.240301
0.0379607 0.679739
0.0709054 0.68132
0.0264124 0.361873
0.0532281 0.423901
0.0770438 0.351089
0.0394113 0.461463
0.0535019 0.360505
0.0594775 0.420117
0.0161286 0.0157233
0.0322584 0.53357
0.113288 0.286794
0.0961718 0.397763
0.0575647 0.398696
0.0652155 1.0084
0.0142795 0.258508
0.0759642 0.419126
0.039962 0.240038
0.0219213 0.581661
0.0376388 0.471844
0.0445408 0.48361
0.0686005 0.260227
0.057073 0.319244
0.127685 0.56773
0.0541082 0.118603
0.0520999 0.879673
0.0589622 0.60546
0.030054 0.45032
0.0893748 0.72965
0.215311 1.22756
0.158342 0.765917
0.0528858 0.494616
0.0689001 0.468743
0.0972215 0.790249
0.039629 0.41506
0.0360983 0.181819
0.0313955 0.521632
0.0908607 0.203083
0.0664871 0.307844
0.0257058 0.224877
0.0605552 0.284907
0.110193 0.784508
0.0334272 0.475609
0.0807346 0.576552
0.0900453 0.51143
0.0219619 0.271449
0.0367411 0.30878
0.0801258 0.510207
0.0648406 0.42581
0.00471921 0.466673
0.0294074 0.329574
0.0520982 0.972565
0.0785572 0.338008
0.0543612 0.614617
0.0443821 0.645895
0.0639307 0.345033
0.136497 1.79353
0.158896 0.498647
0.0611966 0.685645
0.0386496 1.99073
0.02207 0.571582
0.166727 0.640425
0.132214 1.03533
0.0298676 0.238605
