x y z yaw
29.564873 -51.847958 0.757625 -1.472780
29.616806 -52.336407 0.768416 -1.470798
29.676924 -52.820576 0.783368 -1.471002
29.718102 -53.298279 0.790694 -1.481053
29.758955 -53.793579 0.842447 -1.492084
29.792263 -54.269127 0.808404 -1.504048
29.829906 -54.720089 0.815502 -1.511645
29.836641 -55.191399 0.847832 -1.518219
29.884447 -55.658241 0.855039 -1.517944
29.920275 -56.156502 0.857397 -1.514539
29.945799 -56.618805 0.854279 -1.512242
29.962057 -57.090813 0.871106 -1.509260
30.003073 -57.559017 0.848333 -1.507823
30.022404 -58.026909 0.882611 -1.504642
30.069239 -58.517269 0.874466 -1.503197
30.108423 -58.978310 0.889844 -1.498950
30.125044 -59.439411 0.940439 -1.497104
30.158092 -59.899448 0.945263 -1.494956
30.205202 -60.379025 0.955257 -1.492547
30.246235 -60.844269 0.955730 -1.490963
30.267916 -61.323544 0.952239 -1.487357
30.312206 -61.766949 0.993226 -1.485249
30.379200 -62.231953 0.988341 -1.482607
30.414478 -62.704514 0.990773 -1.481335
30.465328 -63.152405 1.011681 -1.479582
30.499207 -63.616486 1.045708 -1.476399
30.571562 -64.066658 1.033551 -1.474990
30.609709 -64.513329 1.023284 -1.472159
30.645687 -64.953003 1.059909 -1.470701
30.702686 -65.360466 1.061507 -1.467296
30.747530 -65.781342 1.063846 -1.466647
30.802526 -66.208961 1.102789 -1.463531
30.856476 -66.669830 1.067960 -1.461402
30.894217 -67.107742 1.101861 -1.458335
30.959536 -67.546341 1.125896 -1.454767
31.013998 -67.985817 1.127037 -1.453398
31.074745 -68.399162 1.130284 -1.451057
31.127977 -68.806427 1.156570 -1.447668
31.188486 -69.238754 1.158011 -1.446556
31.243206 -69.642601 1.178782 -1.441571
31.321342 -70.074631 1.187100 -1.457476
31.350027 -70.488899 1.206440 -1.479670
31.379671 -70.904991 1.212153 -1.482086
31.414389 -71.329544 1.221780 -1.478599
31.467264 -71.750626 1.229911 -1.476704
31.508018 -72.123306 1.242791 -1.474808
31.549292 -72.534653 1.261380 -1.471952
31.590830 -72.955940 1.274816 -1.468832
31.638777 -73.363792 1.288441 -1.467205
31.681366 -73.801636 1.307072 -1.463490
31.731400 -74.267395 1.322560 -1.461270
31.789454 -74.705452 1.335541 -1.468311
31.839067 -75.156914 1.338517 -1.477730
31.874659 -75.614723 1.348087 -1.510141
31.862217 -76.070213 1.381100 -1.527484
31.884199 -76.506546 1.387463 -1.528808
31.905195 -76.959251 1.397058 -1.526011
31.929863 -77.393471 1.395894 -1.523715
31.950392 -77.843315 1.427241 -1.521465
31.993444 -78.286385 1.442140 -1.518451
32.023457 -78.956375 1.432940 -1.514930
32.049900 -79.448257 1.465048 -1.511438
32.067703 -79.912987 1.480917 -1.510744
32.119324 -80.365707 1.504161 -1.506873
32.168686 -80.848198 1.498219 -1.506156
32.171127 -81.302750 1.539458 -1.500756
32.220390 -81.774673 1.549150 -1.499334
32.247929 -82.226974 1.565240 -1.496407
32.286682 -82.693581 1.570295 -1.494118
32.325394 -83.136269 1.600452 -1.492483
32.374077 -83.600334 1.613385 -1.491516
32.419380 -84.054451 1.615030 -1.494740
32.443829 -84.511963 1.654350 -1.494620
32.478542 -84.989540 1.661026 -1.497726
32.510227 -85.460724 1.667252 -1.500013
32.557415 -85.924507 1.691941 -1.503386
32.580860 -86.407616 1.706296 -1.504690
32.612823 -86.909485 1.715761 -1.505729
32.645901 -87.382629 1.763759 -1.510094
32.684059 -87.847984 1.771525 -1.511253
32.708416 -88.304504 1.783080 -1.514470
32.729435 -88.760147 1.810852 -1.515281
32.759621 -89.225456 1.827090 -1.519102
32.777184 -89.691635 1.854199 -1.520805
32.810337 -90.134422 1.860856 -1.523510
32.833031 -90.629387 1.881609 -1.525781
32.864754 -91.118660 1.901477 -1.527452
32.879349 -91.574036 1.909612 -1.530806
32.906258 -92.027016 1.946405 -1.532530
32.917404 -92.536949 1.993028 -1.536603
32.940746 -92.984451 1.992736 -1.538351
32.951611 -93.448051 2.012443 -1.541987
32.947838 -93.891479 2.007816 -1.543974
32.981743 -94.316269 2.043073 -1.545815
32.999352 -94.741814 2.077824 -1.548831
33.002693 -95.160744 2.072586 -1.550127
33.015797 -95.587769 2.091215 -1.548828
33.018875 -96.005745 2.111365 -1.547516
33.042370 -96.436844 2.131619 -1.544759
33.065140 -96.887695 2.154673 -1.544489
33.079239 -97.270798 2.139813 -1.544918
33.089451 -97.695488 2.184773 -1.545048
33.084309 -98.153412 2.241878 -1.546240
33.119324 -98.511810 2.241016 -1.548103
33.133053 -98.927109 2.251484 -1.549725
33.127460 -99.344604 2.291254 -1.549027
33.147316 -99.778091 2.303986 -1.550824
33.146797 -100.245804 2.345672 -1.553139
33.165169 -100.698730 2.328959 -1.554427
33.179741 -101.129601 2.347014 -1.557457
33.187336 -101.530281 2.346415 -1.559371
33.183125 -101.930992 2.379482 -1.562488
33.190414 -102.300957 2.403702 -1.565585
33.203754 -102.729637 2.441924 -1.566204
33.202713 -103.107941 2.432386 -1.569738
33.184700 -103.503761 2.441324 -1.572163
33.199135 -103.910942 2.435476 -1.573691
33.198380 -104.377014 2.465322 -1.575270
33.198769 -104.789413 2.476675 -1.577278
33.205215 -105.176109 2.495209 -1.575200
33.191589 -105.561287 2.536199 -1.573901
33.199577 -105.926003 2.538981 -1.571125
33.204742 -106.287140 2.554607 -1.570799
33.198441 -106.650368 2.585000 -1.570372
33.227161 -107.067352 2.509640 -1.570364
33.217205 -107.391563 2.882319 -1.568091
33.203552 -108.067993 2.585971 -1.576373
33.195625 -108.413956 2.590761 -1.577835
33.193096 -108.805611 2.716879 -1.582377
33.181984 -109.225883 2.680615 -1.584039
33.188099 -109.561661 2.754537 -1.588089
33.172176 -109.953590 2.711922 -1.589411
33.164635 -110.312637 2.749706 -1.588094
33.167088 -110.677483 2.784009 -1.590568
33.159512 -111.054649 2.786245 -1.592220
33.158340 -111.437057 2.798624 -1.595059
33.129173 -111.859528 2.830059 -1.617902
33.114685 -112.268730 2.850004 -1.667520
33.046200 -112.661018 2.868787 -1.733820
32.943672 -113.021500 2.884300 -1.805402
32.803383 -113.394119 2.896001 -1.876342
32.651825 -113.718208 2.921303 -1.945529
32.446484 -114.051201 2.926350 -2.008345
32.273415 -114.388802 2.952951 -2.062817
32.084911 -114.702171 2.951836 -2.101559
31.846846 -115.042145 2.976954 -2.134703
31.695704 -115.312843 2.949525 -2.164432
31.472233 -115.642883 2.931481 -2.179302
31.141905 -116.051628 2.963104 -2.190303
30.996365 -116.304222 3.040416 -2.204226
30.763973 -116.592163 3.023873 -2.232866
30.455326 -116.933716 3.024716 -2.291904
30.027836 -117.335411 3.062803 -2.380861
29.757265 -117.572830 3.057364 -2.426995
29.480528 -117.764702 3.078711 -2.456456
29.210810 -117.943619 3.101083 -2.485868
28.919611 -118.154984 3.050377 -2.516675
28.604399 -118.347450 3.102646 -2.550714
28.281502 -118.526802 3.066227 -2.596182
27.958817 -118.711349 3.102436 -2.647151
