x y z yaw
32.130752 -47.631562 -0.072365 -1.509106
32.138656 -48.187340 -0.044493 -1.640672
32.101661 -48.717586 -0.040605 -1.782079
31.986900 -49.222185 -0.011214 -1.927536
31.825646 -49.718929 -0.005804 -2.057621
31.574191 -50.180859 -0.000906 -2.168503
31.307951 -50.581245 0.008650 -2.289430
30.990130 -50.970841 0.004560 -2.379981
30.629737 -51.333437 0.023171 -2.476990
30.247306 -51.635143 0.017358 -2.502643
29.828802 -51.954468 0.023393 -2.521997
29.416444 -52.261948 0.037273 -2.552903
29.002807 -52.558274 0.031506 -2.634844
28.560000 -52.810241 0.029141 -2.657224
28.075205 -53.071231 0.059912 -2.761346
27.610737 -53.275828 0.058485 -2.834076
27.147327 -53.419526 0.057614 -2.893202
26.648940 -53.559650 0.064135 -2.891680
26.145698 -53.674333 0.063528 -2.888139
25.654325 -53.816106 0.067056 -2.889444
25.124143 -53.958183 0.095896 -2.925356
24.635870 -54.076343 0.069828 -2.970674
24.128450 -54.167349 0.077652 -3.012821
23.627985 -54.244980 0.076973 -3.054015
23.113998 -54.300092 0.080611 -3.093811
22.589769 -54.327922 0.109020 -3.132982
22.053557 -54.344295 0.096311 3.080569
21.525994 -54.330242 0.095288 2.951236
21.033460 -54.238726 0.058315 2.890159
20.490849 -54.121646 0.061878 2.760680
20.015357 -53.933614 0.062878 2.607098
19.566464 -53.689740 0.027743 2.453794
19.219592 -53.387431 0.047553 2.095839
18.942491 -52.931739 0.059438 1.940554
18.739823 -52.462104 0.052843 1.787426
18.609328 -51.950338 0.046534 1.633566
18.592562 -51.423690 0.037977 1.500507
18.633264 -50.927131 0.035097 1.503128
18.667804 -50.420482 0.027155 1.532737
18.683002 -49.909938 -0.007458 1.543381
18.699791 -49.411853 -0.023750 1.554973
18.697396 -48.875726 -0.020452 1.578520
18.690092 -48.361802 -0.013984 1.586099
18.666514 -47.860653 -0.028165 1.593406
18.671310 -47.342873 -0.019927 1.607517
18.637440 -46.800459 -0.033747 1.617064
18.618288 -46.319888 -0.039475 1.624650
18.592062 -45.834935 -0.044449 1.637134
18.538203 -45.333141 -0.065422 1.647234
18.505955 -44.793694 -0.058986 1.688312
18.445134 -44.285082 -0.059777 1.694771
18.375097 -43.770548 -0.086073 1.703372
18.302102 -43.273400 -0.090174 1.708842
18.235540 -42.737532 -0.089357 1.719319
18.147984 -42.226504 -0.109271 1.726611
18.065085 -41.710638 -0.111816 1.735929
17.969268 -41.223203 -0.119122 1.743457
17.887217 -40.713995 -0.130278 1.752358
17.771624 -40.192458 -0.114050 1.738358
17.716683 -39.687556 -0.136168 1.731385
17.597752 -39.180290 -0.127611 1.732259
17.522553 -38.665875 -0.150224 1.736736
17.421025 -38.165923 -0.144744 1.737773
17.330630 -37.650057 -0.166066 1.740022
17.250256 -37.152567 -0.152519 1.743830
17.156727 -36.627707 -0.176409 1.745340
17.048949 -36.123015 -0.170218 1.687268
17.004469 -35.616314 -0.178058 1.689848
16.933073 -35.110118 -0.177388 1.692124
16.869037 -34.584930 -0.186086 1.695013
16.810621 -34.058533 -0.187431 1.690442
16.742413 -33.548385 -0.189172 1.669263
16.687527 -33.049906 -0.200256 1.651703
16.636872 -32.514861 -0.191127 1.652725
16.609732 -32.012730 -0.202570 1.655836
16.555481 -31.512114 -0.194154 1.657455
16.499814 -30.981681 -0.206202 1.659078
16.443593 -30.463474 -0.208823 1.660780
16.401240 -29.951777 -0.211942 1.663984
16.352870 -29.437693 -0.216946 1.665670
16.304115 -28.922517 -0.204613 1.668274
16.255898 -28.408234 -0.208935 1.669803
16.210322 -27.885393 -0.210313 1.671482
16.135348 -27.373740 -0.212775 1.673646
16.089622 -26.838338 -0.210494 1.676175
16.032526 -26.329290 -0.228519 1.679635
15.969288 -25.816530 -0.193137 1.680966
15.907873 -25.289691 -0.218575 1.681958
15.856291 -24.776942 -0.217723 1.685421
15.779127 -24.253724 -0.222915 1.685605
15.719340 -23.734719 -0.222817 1.689057
15.635127 -23.202348 -0.226733 1.689756
15.578865 -22.690162 -0.228149 1.691293
15.517116 -22.161832 -0.231144 1.692307
15.439586 -21.636044 -0.237811 1.694636
15.389859 -21.123342 -0.237640 1.697105
15.286557 -20.622431 -0.218294 1.696424
15.230056 -20.102099 -0.218552 1.698535
15.164869 -19.571923 -0.220932 1.702209
15.095731 -19.062384 -0.215680 1.704605
15.029438 -18.552008 -0.205746 1.708544
14.944319 -18.024781 -0.204440 1.709508
14.882221 -17.506980 -0.193807 1.710881
14.797815 -16.984668 -0.192611 1.708380
14.724345 -16.466948 -0.195459 1.691581
14.650850 -15.950978 -0.176179 1.685213
14.587571 -15.449371 -0.187302 1.675919
14.531158 -14.930346 -0.163481 1.672179
14.464578 -14.392911 -0.156498 1.664362
14.431510 -13.881017 -0.143394 1.667426
14.361211 -13.358482 -0.169297 1.668863
14.343354 -12.856583 -0.141046 1.705188
14.268236 -12.368778 -0.135282 1.817638
14.146428 -11.860323 -0.124716 1.935747
13.963989 -11.339892 -0.102491 2.067915
13.728611 -10.867862 -0.113843 2.202091
13.451907 -10.449729 -0.122739 2.334261
13.135384 -10.037269 -0.092678 2.468495
12.700925 -9.726606 -0.092326 2.601592
12.250658 -9.439328 -0.109166 2.735925
11.744626 -9.213543 -0.098225 2.871836
11.266615 -9.050000 -0.082340 3.003532
10.757733 -8.973031 -0.101762 3.138445
10.227895 -8.950168 -0.091521 -3.016684
9.673723 -9.008864 -0.111967 -2.997763
9.166404 -9.090053 -0.109048 -2.990971
8.660496 -9.183411 -0.115711 -2.987630
8.004723 -9.281631 -0.140269 -2.983040
7.490768 -9.382214 -0.156045 -2.984101
6.977370 -9.464164 -0.162450 -2.993797
6.465062 -9.533727 -0.150600 -2.992244
5.956813 -9.618038 -0.173735 -2.988864
5.409598 -9.716972 -0.195376 -2.998793
4.923581 -9.782473 -0.190029 -3.001772
4.398081 -9.861232 -0.198843 -3.010799
3.879699 -9.934882 -0.211984 -3.008440
3.370318 -9.999338 -0.207942 -3.006382
2.827275 -10.082672 -0.232971 -3.012388
2.288815 -10.162582 -0.220335 -3.043505
1.751884 -10.234195 -0.238534 -3.124448
1.217413 -10.233654 -0.267003 3.011170
0.735834 -10.221471 -0.268291 2.856149
0.222233 -10.053031 -0.306020 2.703292
-0.270171 -9.825038 -0.294785 2.545740
-0.708457 -9.532654 -0.282815 2.391165
-1.099671 -9.188066 -0.285990 2.236383
-1.452054 -8.774508 -0.283243 2.080489
-1.711309 -8.330669 -0.271847 1.925896
-1.897657 -7.844083 -0.267470 1.771510
-2.024874 -7.339302 -0.256456 1.620960
-2.037271 -6.862499 -0.252538 1.580792
-2.038976 -6.315009 -0.241376 1.584342
-2.045344 -5.814789 -0.235683 1.588937
-2.074631 -5.283024 -0.228396 1.589560
-2.079747 -4.757474 -0.218724 1.569824
-2.077593 -4.245013 -0.190560 1.544329
-2.069565 -3.685572 -0.201983 1.516253
-2.056843 -3.144344 -0.191317 1.486751
-2.027911 -2.633568 -0.170408 1.452863
-1.954628 -2.146500 -0.187027 1.345694
-1.868681 -1.698958 -0.154528 1.193921
-1.640490 -1.241366 -0.126780 1.046172
-1.396229 -0.742123 -0.104288 0.890460
-1.077968 -0.292843 -0.065826 0.735039
-0.714952 0.060906 -0.051963 0.581023
-0.292010 0.359285 -0.053370 0.426691
0.159408 0.580597 -0.026884 0.282509
